"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 31 21:12:40 GMT 2023","Tue Jan 31 21:12:41 GMT 2023","81","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #3)",""
"passed","Tue Jan 31 21:12:06 GMT 2023","Tue Jan 31 21:12:06 GMT 2023","31","","Allure parameters","","","","should attach parameter number 1 to step",""
"passed","Tue Jan 31 21:11:50 GMT 2023","Tue Jan 31 21:11:50 GMT 2023","41","","Allure executor info","","","","should write executors.json file",""
"passed","Tue Jan 31 21:11:43 GMT 2023","Tue Jan 31 21:11:43 GMT 2023","36","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Tue Jan 31 21:12:24 GMT 2023","Tue Jan 31 21:12:24 GMT 2023","38","","Allure labels","","","","should be able to add owner",""
"passed","Tue Jan 31 21:12:06 GMT 2023","Tue Jan 31 21:12:06 GMT 2023","38","","Allure parameters","","","","should attach testParameter number 2 to test",""
"failed","Tue Jan 31 21:11:53 GMT 2023","Tue Jan 31 21:11:54 GMT 2023","291","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"failed","Tue Jan 31 21:12:36 GMT 2023","Tue Jan 31 21:12:40 GMT 2023","4332","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #2)",""
"broken","Tue Jan 31 21:11:57 GMT 2023","Tue Jan 31 21:11:57 GMT 2023","2","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"passed","Tue Jan 31 21:11:37 GMT 2023","Tue Jan 31 21:11:37 GMT 2023","26","","Allure attachments","","","","should be able to attach file to test by content",""
"passed","Tue Jan 31 21:12:24 GMT 2023","Tue Jan 31 21:12:24 GMT 2023","45","","Allure labels","","","","should be able to add label",""
"skipped","Tue Jan 31 21:12:13 GMT 2023","Tue Jan 31 21:12:13 GMT 2023","4","","Allure test statuses","","","","should be skipped",""
"passed","Tue Jan 31 21:12:10 GMT 2023","Tue Jan 31 21:12:10 GMT 2023","58","","Allure screenshots","","","","should attach screenshot diff",""
"broken","Tue Jan 31 21:11:40 GMT 2023","Tue Jan 31 21:11:40 GMT 2023","0","","cypress/e2e/examples/crashed.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/examples/crashed.cy.js",""
