"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 01:20:47 GMT 2023","Wed Apr 05 01:20:47 GMT 2023","48","","Allure parameters","","","","should attach testParameter number 2 to test",""
"passed","Wed Apr 05 01:20:24 GMT 2023","Wed Apr 05 01:20:24 GMT 2023","7","","Allure links","","","","should be configurable with prefix env variables",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","46","","Allure labels","","","","should be able to add markdown description","
## Emphasis

**This is bold text**

__This is bold text__

*This is italic text*

_This is italic text_

~~Strikethrough~~
"
"passed","Wed Apr 05 01:20:51 GMT 2023","Wed Apr 05 01:20:52 GMT 2023","224","","Allure retry","","","","test with retries",""
"passed","Wed Apr 05 01:20:24 GMT 2023","Wed Apr 05 01:20:24 GMT 2023","38","","Allure links","","","","should be able to add link other external system",""
"failed","Wed Apr 05 01:20:55 GMT 2023","Wed Apr 05 01:20:55 GMT 2023","285","","Allure retry","","","","failed test no retries",""
"passed","Wed Apr 05 01:21:26 GMT 2023","Wed Apr 05 01:21:26 GMT 2023","43","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in test""",""
"passed","Wed Apr 05 01:21:26 GMT 2023","Wed Apr 05 01:21:26 GMT 2023","45","Allure tests structure","Set in test","Using commands","","","""Set in test"", ""Using commands""",""
"skipped","Wed Apr 05 01:21:09 GMT 2023","Wed Apr 05 01:21:09 GMT 2023","3","","Allure test statuses","","","","should be skipped",""
"passed","Wed Apr 05 01:21:26 GMT 2023","Wed Apr 05 01:21:26 GMT 2023","46","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in beforeEach""",""
"passed","Wed Apr 05 01:20:24 GMT 2023","Wed Apr 05 01:20:24 GMT 2023","43","","Allure links","","","","should be able to add link to issue tracker",""
"passed","Wed Apr 05 01:19:58 GMT 2023","Wed Apr 05 01:19:59 GMT 2023","879","","Allure Cypress log","","","","should attach cy.request data with allureLogCypress and allureAttachRequests env vars",""
"passed","Wed Apr 05 01:21:09 GMT 2023","Wed Apr 05 01:21:09 GMT 2023","22","","Allure test statuses","","","","should be passed",""
"failed","Wed Apr 05 01:20:38 GMT 2023","Wed Apr 05 01:20:40 GMT 2023","1871","","Multiple domains","","","","Visit Site 3 - Yahoo",""
"passed","Wed Apr 05 01:19:58 GMT 2023","Wed Apr 05 01:19:58 GMT 2023","4","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Wed Apr 05 01:19:59 GMT 2023","Wed Apr 05 01:19:59 GMT 2023","51","","Allure Cypress log","","","","should not log cypress commands when allureLogCypress is disabled",""
"failed","Wed Apr 05 01:21:09 GMT 2023","Wed Apr 05 01:21:13 GMT 2023","4132","","Allure test statuses","","","","should be failed",""
"passed","Wed Apr 05 01:19:51 GMT 2023","Wed Apr 05 01:19:51 GMT 2023","53","","Allure attachments","","","","should be able to attach existing file to test by path",""
"failed","Wed Apr 05 01:20:11 GMT 2023","Wed Apr 05 01:20:11 GMT 2023","281","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"passed","Wed Apr 05 01:19:51 GMT 2023","Wed Apr 05 01:19:51 GMT 2023","19","","Allure attachments","","","","should be able to attach file to executable by content",""
"passed","Wed Apr 05 01:19:59 GMT 2023","Wed Apr 05 01:19:59 GMT 2023","786","","Allure Cypress log","","","","should attach cy.api data with allureLogCypress and allureAttachRequests env vars",""
"passed","Wed Apr 05 01:20:03 GMT 2023","Wed Apr 05 01:20:03 GMT 2023","11","","Allure Environment info","","","","should add Environment info",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","55","","Allure labels","","","","should be able to add tag",""
"passed","Wed Apr 05 01:20:53 GMT 2023","Wed Apr 05 01:20:54 GMT 2023","478","","Allure retry","","","","test with retries (no screenshots for retries)",""
"passed","Wed Apr 05 01:21:26 GMT 2023","Wed Apr 05 01:21:26 GMT 2023","8","Allure tests structure","Allure tests structure","Set in beforeEach","","","""Tests structure"", ""behaviors"", ""labels""",""
"passed","Wed Apr 05 01:20:24 GMT 2023","Wed Apr 05 01:20:24 GMT 2023","54","","Allure links","","","","should be able to add link to test management system",""
"skipped","Wed Apr 05 01:21:05 GMT 2023","Wed Apr 05 01:21:05 GMT 2023","7","","Allure skipped tests","","","","skip from inside (should be able to add tag)",""
"passed","Wed Apr 05 01:20:47 GMT 2023","Wed Apr 05 01:20:47 GMT 2023","16","","Allure parameters","","","","should attach testParameter number 1 to test",""
"passed","Wed Apr 05 01:21:18 GMT 2023","Wed Apr 05 01:21:18 GMT 2023","22","","Allure steps","","","","could be started and finished with startStep, endStep",""
"skipped","Wed Apr 05 01:21:05 GMT 2023","Wed Apr 05 01:21:05 GMT 2023","1","","Allure skipped tests","","","","skip by xit",""
"passed","Wed Apr 05 01:19:58 GMT 2023","Wed Apr 05 01:19:58 GMT 2023","54","","Allure Cypress log","","","","should log cypress custom command as separate step",""
"passed","Wed Apr 05 01:19:58 GMT 2023","Wed Apr 05 01:19:58 GMT 2023","72","","Allure Cypress log","","","","should log cypress commands as steps when allureLogCypress is enabled",""
"passed","Wed Apr 05 01:21:01 GMT 2023","Wed Apr 05 01:21:01 GMT 2023","52","","Allure screenshots","","","","should attach screenshot diff",""
"passed","Wed Apr 05 01:21:01 GMT 2023","Wed Apr 05 01:21:01 GMT 2023","427","","Allure screenshots","","","","should attach screenshot with custom name",""
"passed","Wed Apr 05 01:20:30 GMT 2023","Wed Apr 05 01:20:32 GMT 2023","2356","","Multiple domains","","","","Visit Site 1 - Google",""
"passed","Wed Apr 05 01:21:18 GMT 2023","Wed Apr 05 01:21:18 GMT 2023","38","","Allure steps","","","","could be started for current executable with log step, or step(name,false) and finish automatically",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","37","","Allure labels","","","","should be able to add severity",""
"passed","Wed Apr 05 01:21:00 GMT 2023","Wed Apr 05 01:21:01 GMT 2023","299","","Allure screenshots","","","","should attach screenshot automatically",""
"passed","Wed Apr 05 01:20:24 GMT 2023","Wed Apr 05 01:20:24 GMT 2023","29","","Allure links","","","","should accept * character as pattern in tmsPrefix configuration",""
"passed","Wed Apr 05 01:20:04 GMT 2023","Wed Apr 05 01:20:04 GMT 2023","42","","Allure Environment info","","","","should overwrite Environment info",""
"passed","Wed Apr 05 01:20:07 GMT 2023","Wed Apr 05 01:20:07 GMT 2023","8","","Allure executor info","","","","should write executors.json file",""
"passed","Wed Apr 05 01:20:55 GMT 2023","Wed Apr 05 01:20:55 GMT 2023","120","","Allure retry","","","","passed test no retries",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","7","","Allure labels","","","","should be able to add label",""
"broken","Wed Apr 05 01:19:54 GMT 2023","Wed Apr 05 01:19:54 GMT 2023","0","","cypress/e2e/examples/crashed.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/examples/crashed.cy.js",""
"passed","Wed Apr 05 01:19:51 GMT 2023","Wed Apr 05 01:19:51 GMT 2023","39","","Allure attachments","","","","should be able to attach file to test by content",""
"skipped","Wed Apr 05 01:21:05 GMT 2023","Wed Apr 05 01:21:05 GMT 2023","5","","Allure skipped tests","","","","skip by it.skip",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","44","","Allure labels","","","","should be able to add test id for allure testops",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","54","","Allure labels","","","","should be able to add html description",""
"passed","Wed Apr 05 01:21:18 GMT 2023","Wed Apr 05 01:21:18 GMT 2023","48","","Allure steps","","","","could be started for current test with step and finished automatically",""
"passed","Wed Apr 05 01:20:20 GMT 2023","Wed Apr 05 01:20:20 GMT 2023","19","","Allure hooks","","","","should log before hooks as pre-requisites and each hooks as steps",""
"failed","Wed Apr 05 01:20:54 GMT 2023","Wed Apr 05 01:20:55 GMT 2023","332","","Allure retry","","","","test with retries - fail (no screenshots for retries)",""
"passed","Wed Apr 05 01:20:47 GMT 2023","Wed Apr 05 01:20:47 GMT 2023","46","","Allure parameters","","","","should attach parameter number 2 to step",""
"passed","Wed Apr 05 01:21:22 GMT 2023","Wed Apr 05 01:21:22 GMT 2023","50","","Allure labels","","","","should be able to add owner",""
"passed","Wed Apr 05 01:20:47 GMT 2023","Wed Apr 05 01:20:47 GMT 2023","66","","Allure parameters","","","","should attach parameter number 1 to step",""
"passed","Wed Apr 05 01:20:35 GMT 2023","Wed Apr 05 01:20:35 GMT 2023","377","","Multiple domains","","","","Visit Site 2 - Bing",""
