"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 20:14:47 GMT 2023","Thu Jun 08 20:14:47 GMT 2023","37","","Allure attachments","","","","should be able to attach file to test by content",""
"passed","Thu Jun 08 20:16:27 GMT 2023","Thu Jun 08 20:16:27 GMT 2023","35","","Allure test name duplicates (same suite, same test names)","","","","non-unique test name",""
"passed","Thu Jun 08 20:16:51 GMT 2023","Thu Jun 08 20:16:51 GMT 2023","90","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Will attach links for each example separately (example #2)",""
"passed","Thu Jun 08 20:16:46 GMT 2023","Thu Jun 08 20:16:46 GMT 2023","33","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Allure gherkin suite structure",""
"passed","Thu Jun 08 20:15:52 GMT 2023","Thu Jun 08 20:15:52 GMT 2023","176","","Allure retry","","","","test with retries",""
"passed","Thu Jun 08 20:16:31 GMT 2023","Thu Jun 08 20:16:31 GMT 2023","41","","Allure labels","","","","should be able to add tag",""
"failed","Thu Jun 08 20:15:07 GMT 2023","Thu Jun 08 20:15:08 GMT 2023","212","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
"passed","Thu Jun 08 20:16:51 GMT 2023","Thu Jun 08 20:16:51 GMT 2023","96","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #4)",""
"passed","Thu Jun 08 20:15:56 GMT 2023","Thu Jun 08 20:15:56 GMT 2023","135","","Allure retry","","","","passed test no retries",""
"skipped","Thu Jun 08 20:16:06 GMT 2023","Thu Jun 08 20:16:06 GMT 2023","8","","Allure skipped tests","","","","skip from inside (should be able to add tag)",""
"broken","Thu Jun 08 20:14:50 GMT 2023","Thu Jun 08 20:14:50 GMT 2023","0","","cypress/e2e/examples/crashed.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/examples/crashed.cy.js",""
"failed","Thu Jun 08 20:16:46 GMT 2023","Thu Jun 08 20:16:51 GMT 2023","4325","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #2)",""
"passed","Thu Jun 08 20:16:51 GMT 2023","Thu Jun 08 20:16:51 GMT 2023","90","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Will attach links for each example separately (example #1)",""
"passed","Thu Jun 08 20:16:35 GMT 2023","Thu Jun 08 20:16:35 GMT 2023","62","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in beforeEach""",""
"passed","Thu Jun 08 20:16:30 GMT 2023","Thu Jun 08 20:16:31 GMT 2023","63","","Allure labels","","","","should be able to add test id for allure testops",""
"passed","Thu Jun 08 20:15:26 GMT 2023","Thu Jun 08 20:15:30 GMT 2023","3315","","Multiple domains","","","","Visit Site 1 - Google",""
"passed","Thu Jun 08 20:15:15 GMT 2023","Thu Jun 08 20:15:15 GMT 2023","16","","Allure hooks","","","","should log before hooks as pre-requisites and each hooks as steps",""
"passed","Thu Jun 08 20:15:48 GMT 2023","Thu Jun 08 20:15:48 GMT 2023","41","","Allure parameters","","","","should attach parameter number 1 to step",""
"passed","Thu Jun 08 20:14:47 GMT 2023","Thu Jun 08 20:14:47 GMT 2023","27","","Allure attachments","","","","should be able to attach file to executable by content",""
"passed","Thu Jun 08 20:15:48 GMT 2023","Thu Jun 08 20:15:48 GMT 2023","32","","Allure parameters","","","","should attach parameter number 2 to step",""
"passed","Thu Jun 08 20:16:31 GMT 2023","Thu Jun 08 20:16:31 GMT 2023","42","","Allure labels","","","","should be able to add severity",""
"passed","Thu Jun 08 20:14:54 GMT 2023","Thu Jun 08 20:14:54 GMT 2023","7","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Thu Jun 08 20:15:04 GMT 2023","Thu Jun 08 20:15:04 GMT 2023","19","","Allure executor info","","","","should write executors.json file",""
"passed","Thu Jun 08 20:15:48 GMT 2023","Thu Jun 08 20:15:48 GMT 2023","9","","Allure parameters","","","","should attach testParameter number 1 to test",""
"passed","Thu Jun 08 20:16:02 GMT 2023","Thu Jun 08 20:16:02 GMT 2023","59","","Allure screenshots","","","","should attach screenshot diff",""
"passed","Thu Jun 08 20:16:23 GMT 2023","Thu Jun 08 20:16:23 GMT 2023","26","","Allure test name duplicates (same suite, same test names)","","","","non-unique test name",""
"passed","Thu Jun 08 20:16:46 GMT 2023","Thu Jun 08 20:16:46 GMT 2023","119","Gherkin_parent_suite","Gherkin_suite","Gherkin_sub_suite","","","Some scenario with examples (example #1)",""
"passed","Thu Jun 08 20:15:19 GMT 2023","Thu Jun 08 20:15:19 GMT 2023","37","","Allure links","","","","should be able to add link to test management system",""
"passed","Thu Jun 08 20:16:01 GMT 2023","Thu Jun 08 20:16:02 GMT 2023","386","","Allure screenshots","","","","should attach screenshot automatically",""
"passed","Thu Jun 08 20:16:30 GMT 2023","Thu Jun 08 20:16:30 GMT 2023","8","","Allure labels","","","","should be able to add label",""
"passed","Thu Jun 08 20:16:19 GMT 2023","Thu Jun 08 20:16:19 GMT 2023","64","","Allure steps","","","","could be started for current test with step and finished automatically",""
"passed","Thu Jun 08 20:15:19 GMT 2023","Thu Jun 08 20:15:19 GMT 2023","39","","Allure links","","","","should be able to add link other external system",""
"passed","Thu Jun 08 20:14:47 GMT 2023","Thu Jun 08 20:14:47 GMT 2023","44","","Allure attachments","","","","should be able to attach existing file to test by path",""
"passed","Thu Jun 08 20:15:33 GMT 2023","Thu Jun 08 20:15:34 GMT 2023","735","","Multiple domains","","","","Visit Site 2 - Bing",""
"failed","Thu Jun 08 20:15:56 GMT 2023","Thu Jun 08 20:15:56 GMT 2023","240","","Allure retry","","","","failed test no retries",""
"passed","Thu Jun 08 20:14:55 GMT 2023","Thu Jun 08 20:14:56 GMT 2023","200","","Allure Cypress log","","","","should not log cypress commands when allureLogCypress is disabled",""
"failed","Thu Jun 08 20:14:54 GMT 2023","Thu Jun 08 20:14:55 GMT 2023","462","","Allure Cypress log","","","","should attach cy.request data with allureLogCypress and allureAttachRequests env vars",""
"passed","Thu Jun 08 20:15:54 GMT 2023","Thu Jun 08 20:15:55 GMT 2023","638","","Allure retry","","","","test with retries (no screenshots for retries)",""
"failed","Thu Jun 08 20:15:37 GMT 2023","Thu Jun 08 20:15:40 GMT 2023","2643","","Multiple domains","","","","Visit Site 3 - Yahoo",""
"failed","Thu Jun 08 20:15:55 GMT 2023","Thu Jun 08 20:15:56 GMT 2023","298","","Allure retry","","","","test with retries - fail (no screenshots for retries)",""
