"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 23:27:45 GMT 2023","Tue Apr 04 23:27:45 GMT 2023","63","","Allure Cypress log","","","","should not log cypress commands when allureLogCypress is disabled",""
"skipped","Tue Apr 04 23:28:59 GMT 2023","Tue Apr 04 23:28:59 GMT 2023","3","","Allure test statuses","","","","should be skipped",""
"passed","Tue Apr 04 23:28:41 GMT 2023","Tue Apr 04 23:28:41 GMT 2023","195","","Allure retry","","","","test with retries",""
"passed","Tue Apr 04 23:27:43 GMT 2023","Tue Apr 04 23:27:43 GMT 2023","55","","Allure Cypress log","","","","should log cypress custom command as separate step",""
"passed","Tue Apr 04 23:29:16 GMT 2023","Tue Apr 04 23:29:16 GMT 2023","42","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in beforeEach""",""
"passed","Tue Apr 04 23:27:44 GMT 2023","Tue Apr 04 23:27:45 GMT 2023","1015","","Allure Cypress log","","","","should attach cy.api data with allureLogCypress and allureAttachRequests env vars",""
"passed","Tue Apr 04 23:29:12 GMT 2023","Tue Apr 04 23:29:12 GMT 2023","53","","Allure labels","","","","should be able to add test id for allure testops",""
"passed","Tue Apr 04 23:27:50 GMT 2023","Tue Apr 04 23:27:50 GMT 2023","36","","Allure Environment info","","","","should overwrite Environment info",""
"passed","Tue Apr 04 23:29:12 GMT 2023","Tue Apr 04 23:29:12 GMT 2023","64","","Allure labels","","","","should be able to add tag",""
"failed","Tue Apr 04 23:28:45 GMT 2023","Tue Apr 04 23:28:45 GMT 2023","284","","Allure retry","","","","failed test no retries",""
"failed","Tue Apr 04 23:28:44 GMT 2023","Tue Apr 04 23:28:44 GMT 2023","311","","Allure retry","","","","test with retries - fail (no screenshots for retries)",""
"passed","Tue Apr 04 23:28:24 GMT 2023","Tue Apr 04 23:28:24 GMT 2023","0","","Multiple domains","","","","Visit Site 2 - Bing",""
"passed","Tue Apr 04 23:27:42 GMT 2023","Tue Apr 04 23:27:42 GMT 2023","3","","Allure Cypress log","","","","should be configurable by allureLogCypress env variable",""
"passed","Tue Apr 04 23:28:24 GMT 2023","Tue Apr 04 23:28:24 GMT 2023","2","","Multiple domains","","","","Visit Site 1 - Google",""
"passed","Tue Apr 04 23:29:16 GMT 2023","Tue Apr 04 23:29:16 GMT 2023","20","Allure tests structure","Allure tests structure","Set in beforeEach","","","""Tests structure"", ""behaviors"", ""labels""",""
"passed","Tue Apr 04 23:27:35 GMT 2023","Tue Apr 04 23:27:35 GMT 2023","24","","Allure attachments","","","","should be able to attach file to executable by content",""
"passed","Tue Apr 04 23:29:16 GMT 2023","Tue Apr 04 23:29:16 GMT 2023","63","Allure tests structure","Set in test","Using commands","","","""Set in test"", ""Using commands""",""
"passed","Tue Apr 04 23:29:12 GMT 2023","Tue Apr 04 23:29:12 GMT 2023","49","","Allure labels","","","","should be able to add severity",""
"passed","Tue Apr 04 23:27:53 GMT 2023","Tue Apr 04 23:27:53 GMT 2023","7","","Allure executor info","","","","should write executors.json file",""
"passed","Tue Apr 04 23:27:50 GMT 2023","Tue Apr 04 23:27:50 GMT 2023","8","","Allure Environment info","","","","should add Environment info",""
"passed","Tue Apr 04 23:28:09 GMT 2023","Tue Apr 04 23:28:09 GMT 2023","39","","Allure links","","","","should be able to add link other external system",""
"failed","Tue Apr 04 23:28:24 GMT 2023","Tue Apr 04 23:28:27 GMT 2023","2943","","Multiple domains","","","","Visit Site 3 - Yahoo",""
"passed","Tue Apr 04 23:29:08 GMT 2023","Tue Apr 04 23:29:08 GMT 2023","25","","Allure steps","","","","could be started and finished with startStep, endStep",""
"passed","Tue Apr 04 23:28:09 GMT 2023","Tue Apr 04 23:28:09 GMT 2023","47","","Allure links","","","","should be able to add link to test management system",""
"passed","Tue Apr 04 23:28:36 GMT 2023","Tue Apr 04 23:28:36 GMT 2023","9","","Allure parameters","","","","should attach testParameter number 1 to test",""
"passed","Tue Apr 04 23:29:12 GMT 2023","Tue Apr 04 23:29:12 GMT 2023","48","","Allure labels","","","","should be able to add html description",""
"failed","Tue Apr 04 23:28:59 GMT 2023","Tue Apr 04 23:29:03 GMT 2023","4185","","Allure test statuses","","","","should be failed",""
"skipped","Tue Apr 04 23:28:55 GMT 2023","Tue Apr 04 23:28:55 GMT 2023","9","","Allure skipped tests","","","","skip from inside (should be able to add tag)",""
