"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 05 01:03:27 GMT 2023","Wed Apr 05 01:03:27 GMT 2023","270","","Allure retry","","","","failed test no retries",""
"passed","Wed Apr 05 01:02:21 GMT 2023","Wed Apr 05 01:02:21 GMT 2023","19","","Allure attachments","","","","should be able to attach file to executable by content",""
"passed","Wed Apr 05 01:03:52 GMT 2023","Wed Apr 05 01:03:52 GMT 2023","35","","Allure labels","","","","should be able to add markdown description","
## Emphasis

**This is bold text**

__This is bold text__

*This is italic text*

_This is italic text_

~~Strikethrough~~
"
"passed","Wed Apr 05 01:03:19 GMT 2023","Wed Apr 05 01:03:19 GMT 2023","9","","Allure parameters","","","","should attach testParameter number 1 to test",""
"passed","Wed Apr 05 01:02:34 GMT 2023","Wed Apr 05 01:02:34 GMT 2023","8","","Allure Environment info","","","","should add Environment info",""
"passed","Wed Apr 05 01:03:32 GMT 2023","Wed Apr 05 01:03:32 GMT 2023","35","","Allure screenshots","","","","should attach screenshot diff",""
"passed","Wed Apr 05 01:02:54 GMT 2023","Wed Apr 05 01:02:54 GMT 2023","52","","Allure links","","","","should accept * character as pattern in tmsPrefix configuration",""
"passed","Wed Apr 05 01:02:29 GMT 2023","Wed Apr 05 01:02:30 GMT 2023","805","","Allure Cypress log","","","","should attach cy.api data with allureLogCypress and allureAttachRequests env vars",""
"passed","Wed Apr 05 01:03:48 GMT 2023","Wed Apr 05 01:03:48 GMT 2023","25","","Allure steps","","","","could be started and finished with startStep, endStep",""
"passed","Wed Apr 05 01:02:54 GMT 2023","Wed Apr 05 01:02:54 GMT 2023","45","","Allure links","","","","should be able to add link to test management system",""
"passed","Wed Apr 05 01:03:32 GMT 2023","Wed Apr 05 01:03:32 GMT 2023","309","","Allure screenshots","","","","should attach screenshot automatically",""
"passed","Wed Apr 05 01:03:56 GMT 2023","Wed Apr 05 01:03:56 GMT 2023","49","Allure tests structure","Label storage","Set in beforeEach","","","""Label storage"", ""Set in test""",""
"skipped","Wed Apr 05 01:03:36 GMT 2023","Wed Apr 05 01:03:36 GMT 2023","7","","Allure skipped tests","","","","skip from inside (should be able to add tag)",""
"passed","Wed Apr 05 01:02:34 GMT 2023","Wed Apr 05 01:02:34 GMT 2023","41","","Allure Environment info","","","","should overwrite Environment info",""
"failed","Wed Apr 05 01:02:41 GMT 2023","Wed Apr 05 01:02:42 GMT 2023","359","","Failed in global hooks","","","","should create a blank test with error when cypress got uncaught exception",""
